epoch,train_loss,val_loss
1,2.6199,2.2948
2,2.1862,1.9510
3,1.9765,1.7818
4,1.8529,1.6642
5,1.7705,1.5916
6,1.7019,1.5305
7,1.6541,1.4825
8,1.6106,1.4485
9,1.5780,1.4203
10,1.5466,1.3983
11,1.5246,1.3744
12,1.4967,1.3578
13,1.4759,1.3423
14,1.4650,1.3230
15,1.4478,1.3153
16,1.4318,1.3036
17,1.4216,1.2952
18,1.4072,1.2873
19,1.3946,1.2827
20,1.3846,1.2804
21,1.3780,1.2666
22,1.3683,1.2642
23,1.3581,1.2553
24,1.3499,1.2509
25,1.3417,1.2467
26,1.3377,1.2466
27,1.3311,1.2368
28,1.3244,1.2336
29,1.3208,1.2294
30,1.3135,1.2202
31,1.3067,1.2199
32,1.3040,1.2168
33,1.3003,1.2154
34,1.2900,1.2040
35,1.2912,1.2133
36,1.2844,1.2062
37,1.2785,1.2047
38,1.2757,1.2048
39,1.2727,1.1960
40,1.2682,1.1978
41,1.2662,1.1952
42,1.2593,1.1943
43,1.2573,1.1906
44,1.2533,1.1896
45,1.2479,1.1872
46,1.2468,1.1805
47,1.2454,1.1838
48,1.2431,1.1829
49,1.2403,1.1759
50,1.2393,1.1753
